wave flux
4022.7469 53171.613
4022.7969 54333.625
4022.8469 53009.848
4022.8969 53909.785
4022.9469 53890.03
4022.9969 52304.086
4023.0469 57204.547
4023.0969 54325.523
4023.1469 52837.777
4023.1969 52803.72
4023.2469 51583.33
4023.2969 51276.79
4023.3469 53055.793
4023.3969 53830.22
4023.4469 53878.93
4023.4969 50759.85
4023.5469 53360.75
4023.5969 52983.38
4023.6469 53040.984
4023.697 50440.332
4023.747 49280.113
4023.797 50404.55
4023.847 50617.707
4023.897 50257.24
4023.947 49081.703
4023.997 47276.016
4024.047 48001.695
4024.097 47183.832
4024.147 46716.68
4024.197 46075.9
4024.247 47956.387
4024.297 49214.92
4024.347 48866.17
4024.397 47793.914
4024.447 46876.418
4024.497 44772.96
4024.547 47546.066
4024.597 48055.29
4024.647 47517.55
4024.697 49623.977
4024.747 45539.984
4024.797 45437.902
4024.847 45384.797
4024.897 45932.87
4024.947 43430.668
4024.997 43158.02
4025.047 43390.266
4025.097 44600.957
4025.147 42029.883
4025.197 41419.434
4025.247 40887.094
4025.297 39907.176
4025.3471 40753.223
4025.3971 39487.9
4025.4471 37302.383
4025.4971 39006.66
4025.5471 37229.242
4025.5971 38621.664
4025.6471 39737.688
4025.6971 37065.438
4025.7471 36814.258
4025.7971 37730.508
4025.8471 35991.902
4025.8971 35813.656
4025.9471 33108.01
4025.9971 32379.434
4026.0471 30777.023
4026.0971 28004.648
4026.1471 26291.422
4026.1971 26725.084
4026.2471 25941.238
4026.2971 28438.277
4026.3471 28300.697
4026.3971 30586.668
4026.4471 31379.543
4026.4971 34877.305
4026.5471 34180.074
4026.5971 33922.805
4026.6471 37523.83
4026.6971 37309.348
4026.7471 39504.016
4026.7971 40533.492
4026.8471 42092.027
4026.8971 41709.05
4026.9471 43740.816
4026.9972 43049.31
4027.0472 43678.676
4027.0972 42714.29
4027.1472 42833.26
4027.1972 45093.13
4027.2472 43924.098
4027.2972 44468.06
4027.3472 44443.848
4027.3972 46625.637
4027.4472 46370.977
4027.4972 45790.867
4027.5472 45745.29
4027.5972 48987.637
4027.6472 50209.773
4027.6972 49830.28
4027.7472 49559.7
4027.7972 49154.156
4027.8472 50907.83
4027.8972 48171.055
4027.9472 51269.02
4027.9972 50929.406
4028.0472 51933.33
4028.0972 51558.95
4028.1472 52423.434
4028.1972 50286.793
4028.2472 52409.324
4028.2972 52462.395
4028.3472 53420.758
4028.3972 53548.16
4028.4472 51516.03
4028.4972 51571.402
4028.5472 52251.836
4028.5973 52923.027
4028.6473 53250.38
4028.6973 53314.062
4028.7473 53008.72
4028.7973 53003.137
4028.8473 52683.63
4028.8973 53756.934
4028.9473 52585.965
4028.9973 54266.46
4029.0473 55131.984
4029.0973 56315.4
4029.1473 55711.195
4029.1973 55614.617
4029.2473 54958.434
4029.2973 55063.754
4029.3473 55671.176
4029.3973 52640.504
4029.4473 55098.367
4029.4973 56675.168
4029.5473 55937.89
4029.5973 54708.99
4029.6473 55031.805
4029.6973 56610.887
4029.7473 55427.594
4029.7973 55041.51
4029.8473 56293.656
4029.8973 54969.95
4029.9473 54912.23
4029.9973 55161.918
4030.0473 56488.812
4030.0973 55441.438
4030.1473 55993.895
4030.1973 56804.98
4030.2474 55147.504
